"","uid","locality","assemblage","x","y","culture","cultural_period","regional_technocomplex","age_min","age_max","ochre","shell","ostrich_egg_shell","combustion_feature","burial","needle_eyed","point","bipoint","point_split_base","retoucher","preform","art","instrument","ornament","tg_1","tg_2","tg_3","tg_4","tg_5","tg_6","tg_7","tg_8","tg_9","tg_10","tg_11","tg_12","tg_13","tg_14","tg_15","tg_16","tg_17","tg_18"
"67",67,"Abri I am Schulerloch",2,11.816944,48.927778,"Middle Paleolithic - Eurasia","Middle Paleolithic","Eurasia",46900,55900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,1,1,0,1,1,0,0,0,0,0
"68",68,"Abri I am Schulerloch",3,11.816944,48.927778,"Middle Paleolithic - Eurasia","Middle Paleolithic","Eurasia",55900,350000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,1,1,0,0,0,0,0
"69",69,"Abri Labattut",1,1.100449,45.000359,"Gravettian","Upper Paleolithic","Eurasia",25000,35000,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,0,1,1,1,0,0,1,0,0,0,1
"70",70,"Abri Labattut",2,1.100449,45.000359,"Gravettian","Upper Paleolithic","Eurasia",25000,35000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,1
"71",71,"Abri Pataud",1,1.012781,44.936947,"Gravettian","Upper Paleolithic","Eurasia",19130,22600,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,1,1,0,1,1,1,0,0,0,0,0,0,0
"72",72,"Abri Pataud",2,1.012781,44.936947,"Gravettian","Upper Paleolithic","Eurasia",19130,22600,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,1,1,0,1,1,1,0,0,0,0,0,0,0
"73",73,"Abri Pataud",3,1.012781,44.936947,"Gravettian","Upper Paleolithic","Eurasia",18190,25100,1,1,0,1,0,0,1,1,0,1,1,1,0,1,1,0,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,1
"74",74,"Abri Pataud",4,1.012781,44.936947,"Gravettian","Upper Paleolithic","Eurasia",19800,27000,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,0,1,1,1,0,0,1,0,0,0,1
"75",75,"Abri Pataud",5,1.012781,44.936947,"Gravettian","Upper Paleolithic","Eurasia",25400,27900,1,0,0,1,0,0,1,1,0,1,0,1,1,1,0,0,1,1,1,1,1,0,1,1,1,0,0,0,1,0,0,1
"76",76,"Abri Pataud",6,1.012781,44.936947,"Gravettian","Upper Paleolithic","Eurasia",21000,29500,1,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,1,1,1,1,1,0,1,1,1,0,0,1,1,1,0,1
"77",77,"Abri Pataud",7,1.012781,44.936947,"Aurignacian","Upper Paleolithic","Europe",19350,32300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,1,0,0,1,1,0,0,0
"78",78,"Abri Pataud",8,1.012781,44.936947,"Aurignacian","Upper Paleolithic","Europe",19350,33350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,0,0,0,0,0,0,0
"79",79,"Abri Pataud",9,1.012781,44.936947,"Aurignacian","Upper Paleolithic","Europe",28850,33350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,0,0,0,0,0,0,0
"80",80,"Abri Pataud",10,1.012781,44.936947,"Aurignacian","Upper Paleolithic","Europe",28850,33350,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,0,0,1,1,0,0,0
"81",81,"Abri Pataud",11,1.012781,44.936947,"Aurignacian","Upper Paleolithic","Europe",30900,33550,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,0,0,0,1,0,0,0
"82",82,"Abri Pataud",11,1.012781,44.936947,"Aurignacian","Upper Paleolithic","Europe",30900,33900,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,0,0,0,1,0,0,0
"83",83,"Abri Pataud",12,1.012781,44.936947,"Aurignacian","Upper Paleolithic","Europe",32900,33900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,0,0,0,0,0,0
"84",84,"Abri Pataud",12,1.012781,44.936947,"Aurignacian","Upper Paleolithic","Europe",32900,34150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,0,0,0,0,0,0
"85",85,"Abri Pataud",13,1.012781,44.936947,"Aurignacian","Upper Paleolithic","Europe",33150,34150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,0,0,0,0,0,0,0
"86",86,"Abri Pataud",14,1.012781,44.936947,"Aurignacian","Upper Paleolithic","Europe",33150,34700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,0,0,0,0,0,0
"87",87,"Abri Pataud",15,1.012781,44.936947,"Aurignacian","Upper Paleolithic","Europe",31200,34700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,0,0,1,0,0,0,0
"88",88,"Abri Pataud",16,1.012781,44.936947,"Aurignacian","Upper Paleolithic","Europe",31200,34900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0
"89",89,"Abri Pataud",17,1.012781,44.936947,"Aurignacian","Upper Paleolithic","Europe",30500,34900,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,0,0,1,1,0,0,0
"90",90,"Abri Pataud",18,1.012781,44.936947,"Aurignacian","Upper Paleolithic","Europe",30500,35450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0
"91",91,"Abri Pataud",19,1.012781,44.936947,"Aurignacian","Upper Paleolithic","Europe",33650,35450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,0,0,1,0,0,0,0
"92",92,"Abri Pataud",20,1.012781,44.936947,"Aurignacian","Upper Paleolithic","Europe",33650,36450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,0,0,1,0,0,0,0
"93",93,"Abri Pataud",21,1.012781,44.936947,"Aurignacian","Upper Paleolithic","Europe",32540,36450,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,0,0,1,1,0,0,0
"94",94,"Abri Pataud",22,1.012781,44.936947,"-","-","-",19130,22600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"95",95,"Abri Pataud",23,1.012781,44.936947,"-","-","-",19130,22600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"96",96,"Abri Pataud",24,1.012781,44.936947,"-","-","-",19130,22600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"97",97,"Abri Pataud",25,1.012781,44.936947,"-","-","-",19130,22600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"98",98,"Abri Pataud",26,1.012781,44.936947,"-","-","-",19130,22600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"99",99,"Abri Pataud",27,1.012781,44.936947,"-","-","-",19130,22600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"100",100,"Abri Pataud",28,1.012781,44.936947,"-","-","-",19130,22600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"101",101,"Abri Pataud",29,1.012781,44.936947,"-","-","-",19130,22600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"102",102,"Abri Pataud",30,1.012781,44.936947,"-","-","-",19130,22600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"103",103,"Abri Pataud",31,1.012781,44.936947,"-","-","-",19130,22600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"104",104,"Abri Pataud",32,1.012781,44.936947,"-","-","-",19130,22600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"105",105,"Abri Pataud",33,1.012781,44.936947,"-","-","-",19130,22600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"106",106,"Abri Pataud",34,1.012781,44.936947,"-","-","-",19130,22600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"107",107,"Abri Pataud",35,1.012781,44.936947,"-","-","-",19130,22600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"108",108,"Abri Pataud",36,1.012781,44.936947,"-","-","-",25400,27900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"109",109,"Abri Pataud",37,1.012781,44.936947,"-","-","-",25400,27900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"110",110,"Abri Pataud",38,1.012781,44.936947,"-","-","-",25400,27900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"111",111,"Abri Pataud",39,1.012781,44.936947,"-","-","-",21000,29500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"112",112,"Abri Pataud",40,1.012781,44.936947,"-","-","-",21000,29500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"113",113,"Abri Pataud",41,1.012781,44.936947,"-","-","-",19130,22600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"114",114,"Abri Pataud",42,1.012781,44.936947,"-","-","-",18190,25100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"115",115,"Abri Pataud",43,1.012781,44.936947,"-","-","-",25400,27900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"116",116,"Abri Pataud",44,1.012781,44.936947,"-","-","-",21000,29500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"117",117,"Abri Pataud",45,1.012781,44.936947,"-","-","-",19350,32300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"118",118,"Abri Pataud",46,1.012781,44.936947,"-","-","-",28850,33350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"119",119,"Abri Pataud",47,1.012781,44.936947,"-","-","-",30900,33550,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
